headline,link
Suzanna Mukherjee recalls on break from acting due to sleazy roles,https://timesofindia.indiatimes.com/tv/news/hindi/exclusive-tellyblazer-roadies-fame-suzanna-mukherjee-recalls-taking-a-break-from-acting-because-of-being-offered-sleazy-roles-says-i-kept-thinking-what-wrong-have-i-done-in-life/articleshow/103475624.cms
Govt does U-turn on rule against misleading ads for Ayush medicine,https://timesofindia.indiatimes.com/india/govt-does-u-turn-on-rule-against-misleading-ads-for-ayush-medicine/articleshow/103471526.cms
'Jawan' movie review and release LIVE Updates,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/jawan-movie-review-box-office-collection-release-live-updates-jawan-review-shah-rukh-khan-nayanthara-vijay-sethupathi/liveblog/103448522.cms
Kangana calls SRK 'cinema god that India needs',https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kangana-ranaut-calls-shah-rukh-khan-the-cinema-god-that-india-needs-as-jawan-receives-unprecedented-response-on-its-opening-day/articleshow/103478853.cms
Jawan to mint Rs 84.50 crore on day one!,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/box-office/jawan-box-office-collection-day-1-early-estimates-shah-rukh-khan-starrer-to-record-biggest-opening-for-a-hindi-film-with-rs-84-50-crore-all-india-collection/articleshow/103467037.cms
10 characters who deserve their own spin-off,https://timesofindia.indiatimes.com/web-series/web-stories/ten-breakout-characters-on-ott-who-deserve-their-own-spin-off/photostory/103473448.cms
Shubhangi inspired by Madhuri Dixit to learn dancing,https://timesofindia.indiatimes.com/tv/news/hindi/shubhangi-atre-inspired-by-madhuri-dixit-to-learn-dancing-no-one-could-match-her-energy/articleshow/103476815.cms
Viral! Ranveer Singh and Alia Bhatt's unseen video from 'Rocky Aur Rani Kii Prem Kahaani' surfaces on social media; fans love their chemistry,https://timesofindia.indiatimes.com/videos/etimes/bollywood/viral-ranveer-singh-and-alia-bhatts-unseen-video-from-rocky-aur-rani-kii-prem-kahaani-surfaces-on-social-media-fans-love-their-chemistry/videoshow/103473887.cms
Viral! Ranveer Singh and Alia Bhatt's unseen video from 'Rocky Aur Rani Kii Prem Kahaani' surfaces on social media; fans love their chemistry,https://timesofindia.indiatimes.com/videos/etimes/bollywood/viral-ranveer-singh-and-alia-bhatts-unseen-video-from-rocky-aur-rani-kii-prem-kahaani-surfaces-on-social-media-fans-love-their-chemistry/videoshow/103473887.cms
Rajasthan's Kamdhenu Pashu Bima Yojana benefits extended to just 40 lakh against 1.10 crore registered families,https://timesofindia.indiatimes.com/city/jaipur/rajasthans-kamdhenu-pashu-bima-yojana-benefits-extended-to-just-40-lakh-out-of-1-10-crore-registered-families/articleshow/103479289.cms
Chinese President Xi Jinping’s absence from G20 summit linked to political pressures at home: Reports,https://timesofindia.indiatimes.com/videos/international/chinese-president-xi-jinpings-absence-from-g20-summit-linked-to-political-pressures-at-home-reports/videoshow/103475622.cms
Chinese President Xi Jinping’s absence from G20 summit linked to political pressures at home: Reports,https://timesofindia.indiatimes.com/videos/international/chinese-president-xi-jinpings-absence-from-g20-summit-linked-to-political-pressures-at-home-reports/videoshow/103475622.cms
US Open Semi-Final Live: Bopanna & Ebden vs Mahut & Herbert,https://timesofindia.indiatimes.com/sports/tennis/us-open/rohan-bopanna-matthew-ebden-vs-pierre-hugues-herbert-nicolas-mahut-us-open-2023-semifinal-live-score-updates/liveblog/103478285.cms
"Tecno Spark 10 Pro Moon Explorer edition launched in India: Price, specs and more",https://timesofindia.indiatimes.com/gadgets-news/tecno-spark-10-pro-moon-explorer-edition-launched-in-india-price-specs-and-more/articleshow/103476031.cms
Rupee falls 9 paise to settle at all-time low of 83.22 against US dollar,https://timesofindia.indiatimes.com/business/india-business/rupee-falls-9-paise-to-settle-at-all-time-low-of-83-22-against-us-dollar/articleshow/103476469.cms
"Indonesia warns against new conflicts as US, China, Russia attend summit",https://timesofindia.indiatimes.com/world/rest-of-world/indonesia-warns-against-new-conflicts-as-us-china-russia-attend-summit/articleshow/103475826.cms
UPSC Mains 2023: 10 Amazing Benefits of Group Study,https://timesofindia.indiatimes.com/education/web-stories/upsc-mains-2023-10-amazing-benefits-of-group-study/photostory/103470842.cms
8 Common Zinc rich foods that good for health,https://recipes.timesofindia.com/web-stories/8-common-zinc-rich-foods-that-good-for-health/photostory/103461700.cms
Cases of this viral infection rising in Kolkata,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/cases-of-this-viral-infection-rising-in-kolkata-heres-everything-you-need-to-know-about-it/photostory/103466291.cms
Switch Mobility unveils IeV series all-electric LCVs: 120 km range and connectivity,https://timesofindia.indiatimes.com/auto/cars/switch-mobility-unveils-iev-series-all-electric-lcvs-120-km-range-and-connectivity/articleshow/103478659.cms
NEET-UG 2024 Key Details to Remember,https://timesofindia.indiatimes.com/education/web-stories/neet-ug-2024-key-details-to-remember/photostory/103472148.cms
